x,u,d,xu,xd
0.0001,-46.44644,0.9969910999999998,-0.004644644000000001,9.969910999999999e-05
0.00010283,-47.30128,0.9934265000000004,-0.0048639906224,0.00010215404699500005
0.000105741,-48.15392,0.9879330999999998,-0.00509184365472,0.00010446503392709998
0.00010873399999999999,-49.002860000000005,0.9803502000000006,-0.0053282769792400006,0.00010659739864680006
0.000111811,-49.846270000000004,0.9705138000000004,-0.0055733612949700004,0.00010851411849180006
0.000114976,-50.68238,0.9582440999999999,-0.00582725732288,0.0001101750736416
0.00011823,-51.50912,0.9433500700000002,-0.0060899232576,0.00011153227877610001
0.000121576,-52.32439,0.9256177000000001,-0.006361390038640001,0.00011253289749520001
0.000125017,-53.12579,0.904829125,-0.00664162688843,0.000113119022720125
0.000128556,-53.910920000000004,0.8807560900000002,-0.0069305722315200005,0.00011322647990604003
0.000132194,-54.67701,0.8531525900000005,-0.00722797265994,0.00011278165348246007
0.000135936,-55.42123,0.8217546000000011,-0.00753374032128,0.00011170603330560014
0.00013978299999999999,-56.14034,0.7862733000000004,-0.00784746514622,0.00010990764069390005
0.000143739,-56.83101,0.7464221000000011,-0.008168832546389998,0.00010728996623190015
0.000147808,-57.4897,0.7018747000000003,-0.0084974375776,0.00010374269565760004
0.000151991,-58.11248,0.6522930000000002,-0.00883257394768,9.914266536300004e-05
0.000156293,-58.69521,0.5973198000000011,-0.00917365045653,9.335690350140017e-05
0.000160717,-59.23349,0.5365821000000004,-0.009519828812330001,8.623786536570006e-05
0.000165265,-59.722590000000004,0.4696644000000001,-0.00987005383635,7.761908706600002e-05
0.00016994299999999998,-60.157270000000004,0.3961397,-0.010223306935609999,6.732116903709999e-05
0.00017475299999999999,-60.53226,0.31555020000000056,-0.01057819403178,5.5143344100600095e-05
0.00017969900000000002,-60.84156,0.22740950000000026,-0.010933167490440002,4.086525974050005e-05
0.000184785,-61.07909999999999,0.13120110000000018,-0.011286501493499999,2.4243995263500034e-05
0.000190015,-61.23801000000001,0.02637670000000103,-0.011636140470150002,5.011968650500196e-06
0.000195393,-61.31141999999999,-0.08764459999999996,-0.011979822288059999,-1.7125141327799994e-05
0.000200923,-61.2916,-0.2114830999999997,-0.0123148921468,-4.249181890129994e-05
0.00020661,-61.17047,-0.3457891999999996,-0.012638430806700001,-7.144350661199991e-05
0.000212458,-60.93933,-0.4912691149999997,-0.01294704817314,-0.00010437405363466993
0.00021847099999999998,-60.58898,-0.6486509999999992,-0.013236935049579998,-0.0001417114326209998
0.000224655,-60.10968,-0.8187270999999994,-0.0135039401604,-0.00018393113665049986
0.000231013,-59.49076,-1.0023261999999997,-0.01374313893988,-0.00023155038244059993
0.000237551,-58.721109999999996,-1.2003322999999995,-0.013949258401609998,-0.0002851401381972999
0.000244275,-57.7889,-1.4136778000000003,-0.0141163835475,-0.0003453261445950001
0.000251189,-56.68135,-1.6433630000000004,-0.014237731625150001,-0.00041279470860700014
0.000258298,-55.38503,-1.8904359999999993,-0.014305842478940001,-0.0004882958379279999
0.00026560900000000004,-53.88536,-2.156013,-0.014312436584240001,-0.0005726564569170002
0.000273126,-52.16727,-2.4412910000000005,-0.014248237786020001,-0.0006667800456660001
0.000280857,-50.21439,-2.7475069999999993,-0.014103062932230001,-0.0007716565734989998
0.00028880599999999996,-48.00927,-3.076002,-0.013865365231619999,-0.0008883678336119999
0.00029698,-45.533609999999996,-3.428195,-0.0135225714978,-0.0010181053511
0.000305386,-42.7678,-3.805574999999999,-0.0130606873708,-0.0011621693269499996
0.000314029,-39.6909,-4.209726,-0.0124640936361,-0.001321976046054
0.000322917,-36.28076,-4.642336,-0.01171567417692,-0.001499089214112
0.00033205699999999997,-32.51388,-5.1051899999999995,-0.010796461451159999,-0.0016952140758299996
0.000341455,-28.365180000000002,-5.6001639999999995,-0.009685432536900001,-0.0019122039986199997
0.000351119,-23.80801,-6.1292729999999995,-0.00835944466319,-0.002152104206487
0.00036105699999999997,-18.814230000000002,-6.694637999999999,-0.00679300944111,-0.0024171459123659995
0.000371276,-13.35376,-7.298488999999999,-0.00495793059776,-0.0027097538019639996
0.00038178400000000003,-7.394606000000001,-7.943230000000001,-0.0028231422571040007,-0.0030325981223200005
0.00039259,-0.9030359000000001,-8.631367,-0.00035452286398100004,-0.0033885883705299996
0.000403702,3.753887,-9.098626,0.001515451689674,-0.0036731335134519995
0.000415128,3.730708,-9.040811,0.001548721350624,-0.003753093788808
0.000426877,3.707642,-8.983281,0.0015827070940339998,-0.003834756043437
0.000438959,3.684699,-8.92605,0.001617431788341,-0.00391816998195
0.000451383,3.661862,-8.869118,0.0016529022551460002,-0.004003369090194
0.000464159,3.639138,-8.812478,0.0016891386549420001,-0.004090390976002001
0.000477296,3.6165300000000005,-8.75613,0.0017261553028800002,-0.0041792658244800005
0.000490805,3.594028,-8.700068,0.0017639669125399998,-0.00427003687474
0.000504697,3.5716460000000003,-8.644303999999998,0.0018025990212620002,-0.004362754295887999
0.000518981,3.549373,-8.588826000000001,0.0018420571489129998,-0.0044574375063060005
0.00053367,3.527203,-8.533637,0.00188236242501,-0.0045541460577900005
0.000548775,3.5051560000000004,-8.478733,0.0019235419839000003,-0.0046529167020750006
0.000564307,3.483212,-8.424118,0.001965600914084,-0.004753788756226
0.000580278,3.461384,-8.369788999999999,0.002008564984752,-0.004856804421342
0.000596702,3.439659,-8.315745,0.0020524514046179995,-0.004962021672989999
0.000613591,3.418047,-8.261980000000001,0.002097282876777,-0.005069476570180001
0.000630957,3.396541,-8.208494,0.002143071319737,-0.0051792067487580005
