xbj,t,x,Q2,gpd_u,gpd_d
0.0001,-0.1,0.00158489,5,20.6235,12.9114
0.0001,-0.1,0.00158489,7.5,21.9526,13.7147
0.0001,-0.1,0.00158489,10,22.8595,14.2608
0.0001,-0.1,0.00209514,0.5,10.7256,6.83091
0.0001,-0.1,0.00209514,1,13.5863,8.60974
0.0001,-0.1,0.00209514,1.5,15.0795,9.52802
0.0001,-0.1,0.00209514,2,16.0734,10.1357
0.0001,-0.1,0.00209514,2.5,16.8133,10.5862
0.0001,-0.1,0.00209514,3,17.4004,10.9426
0.0001,-0.1,0.00209514,4,18.2972,11.4854
0.0001,-0.1,0.00209514,5,18.9698,11.8911
0.0001,-0.1,0.00209514,7.5,20.1444,12.5967
0.0001,-0.1,0.00209514,10,20.9439,13.075
0.0001,-0.1,0.00276965,0.5,10.0612,6.43725
0.0001,-0.1,0.00276965,1,12.6367,8.03249
0.0001,-0.1,0.00276965,1.5,13.9709,8.84878
0.0001,-0.1,0.00276965,2,14.8554,9.38645
0.0001,-0.1,0.00276965,2.5,15.512,9.78384
0.0001,-0.1,0.00276965,3,16.0319,10.0975
0.0001,-0.1,0.00276965,4,16.8245,10.5739
0.0001,-0.1,0.00276965,5,17.4176,10.929
0.0001,-0.1,0.00276965,7.5,18.4505,11.5449
0.0001,-0.1,0.00276965,10,19.1516,11.9611
0.0001,-0.1,0.00366131,0.5,9.42752,6.05937
0.0001,-0.1,0.00366131,1,11.737,7.48219
0.0001,-0.1,0.00366131,1.5,12.9236,8.20342
0.0001,-0.1,0.00366131,2,13.7069,8.67611
0.0001,-0.1,0.00366131,2.5,14.2868,9.02429
0.0001,-0.1,0.00366131,3,14.7449,9.29842
0.0001,-0.1,0.00366131,4,15.4417,9.71367
0.0001,-0.1,0.00366131,5,15.9618,10.0223
0.0001,-0.1,0.00366131,7.5,16.865,10.5559
0.0001,-0.1,0.00366131,10,17.4763,10.9151
0.0001,-0.1,0.00484003,0.5,8.82369,5.69648
0.0001,-0.1,0.00484003,1,10.8851,6.95745
0.0001,-0.1,0.00484003,1.5,11.9351,7.59017
0.0001,-0.1,0.00484003,2,12.6251,8.00261
0.0001,-0.1,0.00484003,2.5,13.1342,8.30531
0.0001,-0.1,0.00484003,3,13.5356,8.54298
0.0001,-0.1,0.00484003,4,14.1444,8.90191
0.0001,-0.1,0.00484003,5,14.5977,9.16788
0.0001,-0.1,0.00484003,7.5,15.3824,9.62599
0.0001,-0.1,0.00484003,10,15.9119,9.93332
0.0001,-0.1,0.00639824,0.5,8.24877,5.34774
0.0001,-0.1,0.00639824,1,10.0792,6.45685
0.0001,-0.1,0.00639824,1.5,11.0029,7.00723
0.0001,-0.1,0.00639824,2,11.6068,7.36387
0.0001,-0.1,0.00639824,2.5,12.0509,7.62458
0.0001,-0.1,0.00639824,3,12.4001,7.82866
0.0001,-0.1,0.00639824,4,12.9285,8.13586
0.0001,-0.1,0.00639824,5,13.3206,8.36271
0.0001,-0.1,0.00639824,7.5,13.9974,8.75189
0.0001,-0.1,0.00639824,10,14.4523,9.01188
0.0001,-0.1,0.0084581,0.5,7.70186,5.01218
0.0001,-0.1,0.0084581,1,9.31732,5.97885
0.0001,-0.1,0.0084581,1.5,10.1243,6.4527
0.0001,-0.1,0.0084581,2,10.649,6.75775
0.0001,-0.1,0.0084581,2.5,11.0334,6.97974
0.0001,-0.1,0.0084581,3,11.3349,7.15294
0.0001,-0.1,0.0084581,4,11.7896,7.41268
0.0001,-0.1,0.0084581,5,12.126,7.60375
0.0001,-0.1,0.0084581,7.5,12.7044,7.93009
0.0001,-0.1,0.0084581,10,13.0918,8.14706
0.0001,-0.1,0.0111811,0.5,7.18207,4.68872
0.0001,-0.1,0.0111811,1,8.59763,5.52179
0.0001,-0.1,0.0111811,1.5,9.29682,5.9246
0.0001,-0.1,0.0111811,2,9.74873,6.18198
0.0001,-0.1,0.0111811,2.5,10.0785,6.36835
0.0001,-0.1,0.0111811,3,10.3363,6.51319
0.0001,-0.1,0.0111811,4,10.7237,6.72951
0.0001,-0.1,0.0111811,5,11.0093,6.88792
0.0001,-0.1,0.0111811,7.5,11.4985,7.15711
0.0001,-0.1,0.0111811,10,11.8246,7.33511
0.0001,-0.1,0.0147808,0.5,6.68843,4.37608
0.0001,-0.1,0.0147808,1,7.91813,5.08387
0.0001,-0.1,0.0147808,1.5,8.51794,5.42076
0.0001,-0.1,0.0147808,2,8.90296,5.63418
0.0001,-0.1,0.0147808,2.5,9.18261,5.78782
0.0001,-0.1,0.0147808,3,9.40045,5.90669
0.0001,-0.1,0.0147808,4,9.7266,6.08335
0.0001,-0.1,0.0147808,5,9.96608,6.21205
0.0001,-0.1,0.0147808,7.5,10.3742,6.42943
0.0001,-0.1,0.0147808,10,10.645,6.57224
0.0001,-0.1,0.0195393,0.5,6.21993,4.07272
0.0001,-0.1,0.0195393,1,7.27675,4.663
0.0001,-0.1,0.0195393,1.5,7.78487,4.9388
0.0001,-0.1,0.0195393,2,8.1085,5.11176
0.0001,-0.1,0.0195393,2.5,8.34229,5.23539
0.0001,-0.1,0.0195393,3,8.52367,5.33053
0.0001,-0.1,0.0195393,4,8.794,5.47109
0.0001,-0.1,0.0195393,5,8.99155,5.57284
0.0001,-0.1,0.0195393,7.5,9.32637,5.74343
0.0001,-0.1,0.0195393,10,9.54715,5.8546
0.0001,-0.1,0.0258298,0.5,5.77535,3.77679
0.0001,-0.1,0.0258298,1,6.67115,4.25682
0.0001,-0.1,0.0258298,1.5,7.09467,4.47611
0.0001,-0.1,0.0258298,2,7.36193,4.61189
0.0001,-0.1,0.0258298,2.5,7.55376,4.70809
0.0001,-0.1,0.0258298,3,7.70186,4.78163
0.0001,-0.1,0.0258298,4,7.92141,4.88944
0.0001,-0.1,0.0258298,5,8.08093,4.96686
0.0001,-0.1,0.0258298,7.5,8.34947,5.0954
0.0001,-0.1,0.0258298,10,8.52526,5.1783
0.0001,-0.1,0.0341455,0.5,5.35321,3.48593
0.0001,-0.1,0.0341455,1,6.09865,3.86257
0.0001,-0.1,0.0341455,1.5,6.44399,4.02968
0.0001,-0.1,0.0341455,2,6.65944,4.13143
0.0001,-0.1,0.0341455,2.5,6.81287,4.20268
0.0001,-0.1,0.0341455,3,6.93061,4.25664
0.0001,-0.1,0.0341455,4,7.10396,4.33493
0.0001,-0.1,0.0341455,5,7.229,4.39051
0.0001,-0.1,0.0341455,7.5,7.43771,4.48155
0.0001,-0.1,0.0341455,10,7.57306,4.53938
0.0001,-0.1,0.0451383,0.5,4.95153,3.19717
0.0001,-0.1,0.0451383,1,5.55598,3.47699
0.0001,-0.1,0.0451383,1.5,5.82888,3.59614
0.0001,-0.1,0.0451383,2,5.99664,3.66693
0.0001,-0.1,0.0451383,2.5,6.11488,3.71561
0.0001,-0.1,0.0451383,3,6.20489,3.75197
0.0001,-0.1,0.0451383,4,6.33622,3.80386
0.0001,-0.1,0.0451383,5,6.43004,3.84004
0.0001,-0.1,0.0451383,7.5,6.5848,3.89799
0.0001,-0.1,0.0451383,10,6.68388,3.93386
0.0001,-0.1,0.0596702,0.5,4.56747,2.90671
0.0001,-0.1,0.0596702,1,5.03891,3.09623
0.0001,-0.1,0.0596702,1.5,5.24443,3.17163
0.0001,-0.1,0.0596702,2,5.36819,3.21453
0.0001,-0.1,0.0596702,2.5,5.45415,3.24307
0.0001,-0.1,0.0596702,3,5.51882,3.26381
0.0001,-0.1,0.0596702,4,5.61194,3.29244
0.0001,-0.1,0.0596702,5,5.67749,3.31165
0.0001,-0.1,0.0596702,7.5,5.78372,3.3409
0.0001,-0.1,0.0596702,10,5.85037,3.35791
0.0001,-0.1,0.0788805,0.5,4.19684,2.60969
0.0001,-0.1,0.0788805,1,4.54177,2.71579
0.0001,-0.1,0.0788805,1.5,4.68434,2.75193
0.0001,-0.1,0.0788805,2,4.76741,2.77017
0.0001,-0.1,0.0788805,2.5,4.82371,2.78109
0.0001,-0.1,0.0788805,3,4.86524,2.78827
0.0001,-0.1,0.0788805,4,4.92365,2.79692
0.0001,-0.1,0.0788805,5,4.9637,2.80168
0.0001,-0.1,0.0788805,7.5,5.02644,2.80679
0.0001,-0.1,0.0788805,10,5.06426,2.80813
0.0001,-0.1,0.104275,0.5,3.83313,2.3
0.0001,-0.1,0.104275,1,4.05666,2.3307
0.0001,-0.1,0.104275,1.5,4.14022,2.33263
0.0001,-0.1,0.104275,2,4.18566,2.32984
0.0001,-0.1,0.104275,2.5,4.21477,2.32594
0.0001,-0.1,0.104275,3,4.23523,2.32186
0.0001,-0.1,0.104275,4,4.2623,2.3141
0.0001,-0.1,0.104275,5,4.2795,2.30716
0.0001,-0.1,0.104275,7.5,4.30368,2.29303
0.0001,-0.1,0.104275,10,4.3162,2.28209
0.0001,-0.1,0.137846,0.5,3.46602,1.97042
0.0001,-0.1,0.137846,1,3.57235,1.93604
0.0001,-0.1,0.137846,1.5,3.60074,1.90997
0.0001,-0.1,0.137846,2,3.61161,1.89047
0.0001,-0.1,0.137846,2.5,3.61607,1.87507
0.0001,-0.1,0.137846,3,3.61761,1.86238
0.0001,-0.1,0.137846,4,3.61683,1.84232
0.0001,-0.1,0.137846,5,3.61397,1.82681
0.0001,-0.1,0.137846,7.5,3.60475,1.79893
0.0001,-0.1,0.137846,10,3.59569,1.77948
0.0001,-0.1,0.182224,0.5,3.079,1.61358
0.0001,-0.1,0.182224,1,3.0728,1.52864
0.0001,-0.1,0.182224,1.5,3.05061,1.48262
0.0001,-0.1,0.182224,2,3.03061,1.45187
0.0001,-0.1,0.182224,2.5,3.01346,1.42902
0.0001,-0.1,0.182224,3,2.99865,1.41095
0.0001,-0.1,0.182224,4,2.97419,1.38349
0.0001,-0.1,0.182224,5,2.95456,1.36305
0.0001,-0.1,0.182224,7.5,2.91802,1.32773
0.0001,-0.1,0.182224,10,2.89172,1.304
0.0001,-0.1,0.24089,0.5,2.64586,1.22548
0.0001,-0.1,0.24089,1,2.53594,1.11103
0.0001,-0.1,0.24089,1.5,2.47037,1.05575
0.0001,-0.1,0.24089,2,2.42499,1.02063
0.0001,-0.1,0.24089,2.5,2.39061,0.995322
0.0001,-0.1,0.24089,3,2.36307,0.975745
0.0001,-0.1,0.24089,4,2.32069,0.946671
0.0001,-0.1,0.24089,5,2.28877,0.925515
0.0001,-0.1,0.24089,7.5,2.23294,0.889857
0.0001,-0.1,0.24089,10,2.19502,0.866494
0.0001,-0.1,0.318442,0.5,2.12594,0.825958
0.0001,-0.1,0.318442,1,1.94087,0.71209
0.0001,-0.1,0.318442,1.5,1.84823,0.661004
0.0001,-0.1,0.318442,2,1.78851,0.629675
0.0001,-0.1,0.318442,2.5,1.74513,0.607616
0.0001,-0.1,0.318442,3,1.71139,0.590829
0.0001,-0.1,0.318442,4,1.661,0.566334
0.0001,-0.1,0.318442,5,1.62415,0.548825
0.0001,-0.1,0.318442,7.5,1.56171,0.519894
0.0001,-0.1,0.318442,10,1.5206,0.501322
0.0001,-0.1,0.35235,0.5,1.91485,0.680636
0.0001,-0.1,0.35235,1,1.70958,0.573995
0.0001,-0.1,0.35235,1.5,1.61117,0.527376
0.0001,-0.1,0.35235,2,1.54897,0.499151
0.0001,-0.1,0.35235,2.5,1.50435,0.479442
0.0001,-0.1,0.35235,3,1.46994,0.464534
0.0001,-0.1,0.35235,4,1.41904,0.442922
0.0001,-0.1,0.35235,5,1.38216,0.427576
0.0001,-0.1,0.35235,7.5,1.32031,0.402406
0.0001,-0.1,0.35235,10,1.28002,0.386372
0.0001,-0.1,0.386259,0.5,1.7078,0.5526
0.0001,-0.1,0.386259,1,1.49083,0.456036
0.0001,-0.1,0.386259,1.5,1.39041,0.414797
0.0001,-0.1,0.386259,2,1.32799,0.390117
0.0001,-0.1,0.386259,2.5,1.28369,0.373014
0.0001,-0.1,0.386259,3,1.24978,0.36015
0.0001,-0.1,0.386259,4,1.20004,0.341609
0.0001,-0.1,0.386259,5,1.16429,0.328523
0.0001,-0.1,0.386259,7.5,1.10488,0.307206
0.0001,-0.1,0.386259,10,1.06654,0.29372
0.0001,-0.1,0.420167,0.5,1.5049,0.441195
0.0001,-0.1,0.420167,1,1.28419,0.356411
0.0001,-0.1,0.420167,1.5,1.18511,0.320974
0.0001,-0.1,0.420167,2,1.12444,0.299995
0.0001,-0.1,0.420167,2.5,1.08178,0.285558
0.0001,-0.1,0.420167,3,1.04937,0.274755
0.0001,-0.1,0.420167,4,1.00215,0.25927
0.0001,-0.1,0.420167,5,0.968465,0.248402
0.0001,-0.1,0.420167,7.5,0.912964,0.230809
0.0001,-0.1,0.420167,10,0.87745,0.21975
0.0001,-0.1,0.454075,0.5,1.30712,0.345725
0.0001,-0.1,0.454075,1,1.09001,0.273451
0.0001,-0.1,0.454075,1.5,0.995217,0.243849
0.0001,-0.1,0.454075,2,0.937951,0.226501
0.0001,-0.1,0.454075,2.5,0.898044,0.214642
0.0001,-0.1,0.454075,3,0.867909,0.20581
0.0001,-0.1,0.454075,4,0.824313,0.193217
0.0001,-0.1,0.454075,5,0.793432,0.184425
0.0001,-0.1,0.454075,7.5,0.742939,0.170275
0.0001,-0.1,0.454075,10,0.710887,0.161434
0.0001,-0.1,0.487984,0.5,1.11612,0.265341
0.0001,-0.1,0.487984,1,0.909183,0.205512
0.0001,-0.1,0.487984,1.5,0.821147,0.181476
0.0001,-0.1,0.487984,2,0.768637,0.167525
0.0001,-0.1,0.487984,2.5,0.732346,0.158049
0.0001,-0.1,0.487984,3,0.705108,0.151023
0.0001,-0.1,0.487984,4,0.665955,0.141055
0.0001,-0.1,0.487984,5,0.638404,0.13413
0.0001,-0.1,0.487984,7.5,0.593683,0.123046
0.0001,-0.1,0.487984,10,0.565509,0.11616
0.0001,-0.1,0.521892,0.5,0.934065,0.198996
0.0001,-0.1,0.521892,1,0.742934,0.150928
0.0001,-0.1,0.521892,1.5,0.663604,0.131973
0.0001,-0.1,0.521892,2,0.616862,0.121073
0.0001,-0.1,0.521892,2.5,0.584812,0.113714
0.0001,-0.1,0.521892,3,0.560896,0.108282
0.0001,-0.1,0.521892,4,0.526729,0.100611
0.0001,-0.1,0.521892,5,0.502837,0.0953074
0.0001,-0.1,0.521892,7.5,0.464326,0.0868623
0.0001,-0.1,0.521892,10,0.440236,0.0816429
0.0001,-0.1,0.5558,0.5,0.763449,0.145441
0.0001,-0.1,0.5558,1,0.592602,0.108008
0.0001,-0.1,0.5558,1.5,0.52336,0.0935123
0.0001,-0.1,0.5558,2,0.483041,0.0852521
0.0001,-0.1,0.5558,2.5,0.455608,0.0797077
0.0001,-0.1,0.5558,3,0.43525,0.0756329
0.0001,-0.1,0.5558,4,0.406339,0.0699037
0.0001,-0.1,0.5558,5,0.386244,0.0659611
0.0001,-0.1,0.5558,7.5,0.354068,0.0597137
0.0001,-0.1,0.5558,10,0.334077,0.0558716
0.0001,-0.1,0.589709,0.5,0.606888,0.103263
0.0001,-0.1,0.589709,1,0.459451,0.0750662
0.0001,-0.1,0.589709,1.5,0.401072,0.0643407
0.0001,-0.1,0.589709,2,0.36747,0.0582831
0.0001,-0.1,0.589709,2.5,0.344777,0.0542403
0.0001,-0.1,0.589709,3,0.328028,0.0512815
0.0001,-0.1,0.589709,4,0.304378,0.0471395
0.0001,-0.1,0.589709,5,0.288036,0.0443016
0.0001,-0.1,0.589709,7.5,0.262034,0.0398258
0.0001,-0.1,0.589709,10,0.245983,0.0370861
0.0001,-0.1,0.623617,0.5,0.466853,0.0709433
0.0001,-0.1,0.623617,1,0.344466,0.0504596
0.0001,-0.1,0.623617,1.5,0.297108,0.0428056
0.0001,-0.1,0.623617,2,0.270157,0.0385208
0.0001,-0.1,0.623617,2.5,0.252089,0.0356773
0.0001,-0.1,0.623617,3,0.238825,0.0336047
0.0001,-0.1,0.623617,4,0.2202,0.0307156
0.0001,-0.1,0.623617,5,0.207402,0.0287445
0.0001,-0.1,0.623617,7.5,0.187163,0.0256498
0.0001,-0.1,0.623617,10,0.174745,0.0237637
0.0001,-0.1,0.657526,0.5,0.345392,0.0469261
0.0001,-0.1,0.657526,1,0.24816,0.0326345
0.0001,-0.1,0.657526,1.5,0.211389,0.0273895
0.0001,-0.1,0.657526,2,0.190699,0.024479
0.0001,-0.1,0.657526,2.5,0.176928,0.0225585
0.0001,-0.1,0.657526,3,0.16687,0.0211643
0.0001,-0.1,0.657526,4,0.152825,0.019229
0.0001,-0.1,0.657526,5,0.143227,0.017914
0.0001,-0.1,0.657526,7.5,0.128135,0.0158583
0.0001,-0.1,0.657526,10,0.118928,0.0146105
