xbj,t,x,Q2,gpd_u,gpd_d
0.0001,-0.1,0.000128556,5,48.5945,33.8501
0.0001,-0.1,0.000128556,7.5,52.6187,36.6142
0.0001,-0.1,0.000128556,10,55.4277,38.5393
0.0001,-0.1,0.000132194,0.5,23.3897,16.337
0.0001,-0.1,0.000132194,1,31.4025,21.9499
0.0001,-0.1,0.000132194,1.5,35.8398,25.0385
0.0001,-0.1,0.000132194,2,38.8913,27.1553
0.0001,-0.1,0.000132194,2.5,41.213,28.7621
0.0001,-0.1,0.000132194,3,43.0868,30.0567
0.0001,-0.1,0.000132194,4,46.0039,32.0683
0.0001,-0.1,0.000132194,5,48.2351,33.604
0.0001,-0.1,0.000132194,7.5,52.2204,36.3408
0.0001,-0.1,0.000132194,10,55.0019,38.2465
0.0001,-0.1,0.000135936,0.5,23.2522,16.2467
0.0001,-0.1,0.000135936,1,31.1988,21.813
0.0001,-0.1,0.000135936,1.5,35.5973,24.8743
0.0001,-0.1,0.000135936,2,38.6213,26.9718
0.0001,-0.1,0.000135936,2.5,40.9217,28.5637
0.0001,-0.1,0.000135936,3,42.7782,29.8461
0.0001,-0.1,0.000135936,4,45.6679,31.8384
0.0001,-0.1,0.000135936,5,47.8778,33.3592
0.0001,-0.1,0.000135936,7.5,51.8245,36.0689
0.0001,-0.1,0.000135936,10,54.5786,37.9555
0.0001,-0.1,0.000139783,0.5,23.1154,16.1567
0.0001,-0.1,0.000139783,1,30.9961,21.6767
0.0001,-0.1,0.000139783,1.5,35.356,24.7109
0.0001,-0.1,0.000139783,2,38.3528,26.7893
0.0001,-0.1,0.000139783,2.5,40.6321,28.3663
0.0001,-0.1,0.000139783,3,42.4713,29.6366
0.0001,-0.1,0.000139783,4,45.3337,31.6098
0.0001,-0.1,0.000139783,5,47.5226,33.1157
0.0001,-0.1,0.000139783,7.5,51.4309,35.7986
0.0001,-0.1,0.000139783,10,54.1579,37.6662
0.0001,-0.1,0.000143739,0.5,22.9792,16.0671
0.0001,-0.1,0.000143739,1,30.7945,21.5411
0.0001,-0.1,0.000143739,1.5,35.1161,24.5484
0.0001,-0.1,0.000143739,2,38.0858,26.6077
0.0001,-0.1,0.000143739,2.5,40.3442,28.17
0.0001,-0.1,0.000143739,3,42.1662,29.4282
0.0001,-0.1,0.000143739,4,45.0016,31.3825
0.0001,-0.1,0.000143739,5,47.1695,32.8737
0.0001,-0.1,0.000143739,7.5,51.0398,35.5299
0.0001,-0.1,0.000143739,10,53.7399,37.3786
0.0001,-0.1,0.000147808,0.5,22.8437,15.9779
0.0001,-0.1,0.000147808,1,30.5938,21.4061
0.0001,-0.1,0.000147808,1.5,34.8774,24.3866
0.0001,-0.1,0.000147808,2,37.8202,26.427
0.0001,-0.1,0.000147808,2.5,40.0578,27.9747
0.0001,-0.1,0.000147808,3,41.8628,29.221
0.0001,-0.1,0.000147808,4,44.6714,31.1564
0.0001,-0.1,0.000147808,5,46.8184,32.633
0.0001,-0.1,0.000147808,7.5,50.651,35.2627
0.0001,-0.1,0.000147808,10,53.3243,37.0926
0.0001,-0.1,0.000151991,0.5,22.7087,15.8891
0.0001,-0.1,0.000151991,1,30.3942,21.2718
